Gene_Name,BreitmeyerC1R1,BreitmeyerC1R2,BreitmeyerC1R3,BreitmeyerC2R1,BreitmeyerC2R2,BreitmeyerC2R3,GuaquetaR1,GuaquetaR2,GuaquetaR3,GuaquetaR4,Hammonds1,Hammonds2,Hammonds3,Hammonds4,Hammonds5,Penney1,Penney2,Penney3,Penney4,Penney5,Penney6
DSC3,361,135,43,73,43,139,9,1,1,0,1,3,0,0,1,1,1,0,1,1,0
DSC1,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTNA,579,825,523,912,700,570,189,252,251,372,1964,1805,1233,1131,940,466,494,532,635,251,629
FHOD3,3133,6028,6231,8929,5632,1829,1,0,0,0,0,0,0,0,0,3,2,2,2,2,2
TPGS2,5546,3937,5853,5327,4779,3137,294,535,252,401,3054,2659,2174,1901,1992,456,471,475,426,259,444
DAGLA,945,823,1161,1995,749,536,419,705,886,918,145,225,299,550,520,322,319,350,374,109,252
SLC43A3,384,147,277,339,213,188,609,1316,511,1600,6971,5880,2758,1496,1503,1647,1799,1703,1915,1031,1636
TIMM10,994,456,772,704,926,1561,129,321,98,257,784,789,526,458,396,239,243,268,234,242,239
DHX34,1951,1525,2580,2968,1953,1605,586,873,694,939,763,754,650,695,750,360,308,407,373,172,371
APLNR,368,94,140,97,55,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FADS2,16605,9658,14601,25277,10211,24553,409,281,139,604,26297,26030,9796,1556,1704,3420,2511,3801,3068,1698,2820
TMEM258,713,573,571,661,395,482,104,131,107,122,1338,1210,1149,1224,1238,346,372,363,246,334,353
TCN1,0,0,0,0,0,4,1,3,0,0,122,101,44,60,59,2,2,0,1,0,1
C5AR2,1,0,0,1,2,6,241,305,106,178,774,813,983,1491,1490,155,135,147,216,81,181
TMEM165,2898,3397,2965,3864,2277,1036,421,759,362,888,3356,2913,2071,1900,1753,554,561,562,545,337,606
CLOCK,2481,2941,2921,3967,1953,1064,429,766,200,567,1396,1108,958,1038,1019,221,279,260,348,102,247
PDGFRA,1756,1010,1021,220,237,215,10,15,0,0,3,2,2,10,12,2,5,5,1,0,0
GGACT,50,59,54,74,47,56,17,43,9,17,99,96,92,98,83,32,44,51,46,33,59
COL4A2,17375,15216,18355,22923,9166,13960,32,133,17,56,38,36,9,10,19,148,83,128,99,45,65
CLDN10,45,80,142,113,177,681,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DZIP1,7150,6853,7724,9549,5249,5766,1,2,0,0,0,1,3,1,0,1,3,0,2,2,1
UBAC2,1948,1823,2239,2788,1367,838,481,665,374,624,2541,2483,2411,2550,2459,501,622,642,658,474,636
ARGLU1,13680,19312,21924,22110,18507,60388,1396,1388,1002,1158,2425,2603,2333,2517,3359,733,734,829,783,436,765
BIVM,653,566,543,580,143,177,70,87,12,51,671,458,462,499,530,54,40,63,58,22,71
ERCC5,774,737,938,946,502,286,30,34,33,39,2758,2101,2056,1804,2037,17,12,16,16,3,13
TPP2,5264,5318,6508,7210,4586,7087,750,935,395,772,4081,3133,2623,2486,2643,703,769,829,802,263,730
CARS2,2606,2455,2958,3573,2095,5110,303,531,274,488,1336,1385,993,933,939,234,221,257,227,193,264
ARHGAP32,3251,4273,4507,5940,2342,1867,178,200,165,163,365,328,300,290,237,148,167,159,217,54,169
STT3A,4435,3510,4608,4926,3225,1884,1582,1774,966,1672,5046,3953,3375,3058,3352,1126,1139,1269,1204,550,1016
ADAMTS8,267,180,336,143,91,44,0,4,5,8,0,0,0,0,0,1,1,3,1,0,3
ACRV1,0,4,3,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETS1,5367,1632,2682,2406,1170,1717,106,136,54,129,572,498,469,447,393,514,507,538,949,298,734
SLC37A2,71,36,61,42,19,43,2887,5007,1920,3292,13107,14526,17294,19119,21361,4811,4772,5496,5395,2642,5015
KLB,13,6,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
TMED7,1751,1469,1675,1443,1290,176,869,1090,674,1076,3018,2203,1983,2643,2296,744,804,800,800,365,713
APC,6733,9414,10820,10011,4882,2401,1043,1254,735,1184,1832,1355,1182,1084,1060,608,637,618,741,138,577
NREP,16221,10930,13629,11017,8976,3979,33,105,24,103,580,430,411,715,677,347,333,378,382,192,350
WDR36,2543,2636,3166,3409,1880,977,404,776,230,693,1571,1179,814,754,684,435,510,516,501,169,401
