Gene_Name,Ramadoss_Neuron,Ramadoss_Neuron,Ramadoss_Neuron,Tian_Neuron,Tian_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Rummel_Neuron
PPP1R3A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
PPP1R3B,7,2,2,0,1,49,75,270,376,403,294,0,448,144,6,32,11
PPP1R3C,8,3,0,8,2,91,158,65,84,237,176,52,132,17,4,50,8
PPP1R3D,72,55,61,15,19,49,78,114,142,40,48,276,498,112,41,66,80
PPP1R3E,152,145,135,36,32,133,183,157,229,222,179,361,526,94,25,58,107
PPP1R3F,185,227,176,66,85,43,53,47,85,27,34,288,395,69,46,66,93
PPP1R3G,1,1,6,0,0,1,2,6,8,2,2,17,38,4,1,4,2
PPP1R42,6,4,8,0,9,2,1,9,7,1,2,0,2,0,0,0,5
PPP1R7,806,783,781,140,165,261,387,381,518,200,165,1189,2168,367,147,447,357
PPP1R8,463,458,440,113,101,327,473,1006,1318,937,987,1218,1921,279,127,332,191
PPP1R8P1,0,0,1,0,0,10,13,2,4,3,1,14,3,0,0,0,0
PPP1R9A,1151,1054,1019,170,236,581,853,715,1035,431,466,2770,4353,607,324,1154,887
PPP1R9B,467,394,336,81,96,267,359,446,633,593,546,1690,2510,286,230,445,142
PPP2CA,671,591,567,546,619,1208,1672,2792,3732,2230,2483,6233,12376,1408,653,2341,769
PPP2CB,1747,1502,1763,695,686,722,989,1886,2735,1797,1922,2844,3589,564,279,902,614
PPP2R1A,2000,1973,1851,460,649,1293,1665,3233,4777,2944,3888,5854,8208,1254,679,1625,332
PPP2R1B,90,73,75,60,76,759,1240,1621,2113,489,574,752,1176,244,78,273,24
PPP2R2A,800,785,748,230,248,578,925,1554,2241,1905,2183,1187,1671,223,147,442,757
PPP2R2B,3035,2739,2478,1060,1067,473,608,663,923,295,337,3275,6123,824,308,1159,1909
PPP2R2C,3038,2246,2643,929,1025,50,50,21,29,64,51,2291,3520,465,160,599,1370
PPP2R2D,601,610,591,90,133,249,328,362,519,291,291,989,2044,277,109,486,362
PPP2R2DP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R3A,505,554,494,97,107,743,1055,1133,1536,555,478,1654,2747,500,231,597,304
PPP2R3B,144,154,109,4,18,0,0,0,0,0,0,63,37,10,23,22,0
PPP2R3C,206,187,180,168,183,250,382,567,791,389,400,978,1075,249,62,258,91
PPP2R5A,17,13,3,2,9,85,158,257,317,175,176,55,89,37,15,22,4
PPP2R5B,70,64,72,170,155,137,203,188,283,214,205,1381,2125,394,178,418,31
PPP2R5C,1060,1000,904,349,421,1107,1739,2528,3477,1436,1470,3154,5419,836,350,1062,575
PPP2R5D,82,88,73,210,325,327,466,628,951,493,511,1442,2354,281,131,455,77
PPP2R5E,2027,1868,1688,477,678,1034,1517,2297,3039,1161,1185,2355,3623,604,171,736,1293
PPP3CA,1959,1958,1875,646,740,445,638,690,868,159,172,2361,3603,749,222,696,1171
PPP3CB,1551,1637,1455,573,579,730,1080,1211,1666,839,924,3627,4722,800,347,1121,614
PPP3CC,19,9,10,86,78,109,155,199,315,166,179,722,1171,179,113,262,11
PPP3R1,1933,1723,1845,517,538,528,853,923,1290,1039,1051,2932,4146,647,241,986,597
PPP3R2,26,19,25,5,15,0,0,0,0,0,0,40,9,4,0,1,5
PPP4C,118,90,77,83,152,231,256,436,624,158,156,661,1258,132,47,211,19
PPP4R1,401,358,353,196,275,707,1056,1383,1902,1042,1194,2014,3363,775,334,776,191
PPP4R1L,0,0,0,4,0,54,86,152,227,130,168,39,32,0,31,33,11
PPP4R2,631,511,504,232,227,779,1279,2127,2791,2292,2335,2242,4026,650,305,761,457
PPP4R3A,391,439,377,123,143,1093,1488,2066,3110,1671,1607,1721,2796,505,152,538,246
PPP4R3B,627,618,616,267,272,1565,2365,2615,3202,1244,1311,2917,4484,724,294,887,350
PPP4R4,31,38,32,10,19,63,108,171,260,117,124,381,568,44,30,77,58
PPP5C,45,72,59,36,50,387,427,565,833,345,378,1030,2117,357,89,479,32
PPP5D1,0,0,0,2,6,5,10,11,20,5,7,36,67,6,10,0,6
PPP6C,438,435,373,191,195,571,862,1476,2040,872,837,1889,2844,566,175,532,148
PPP6R1,25,23,21,2,16,176,175,287,460,190,196,1287,1912,325,102,334,20
PPP6R2,72,68,73,24,51,352,401,439,665,183,194,1433,2411,315,159,401,238
PPP6R2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP6R3,447,374,356,212,309,1517,2154,1807,2439,1035,1216,1843,4154,613,205,870,250
PPRC1,68,71,57,10,24,296,332,463,766,505,597,677,862,150,35,146,46
PPT1,265,271,306,154,177,537,813,1354,2035,1418,1697,1628,1780,320,110,341,139
PPT2,129,122,115,91,153,65,61,118,166,165,141,213,32,55,5,89,42
PPT2-EGFL8,0,0,0,0,1,7,2,5,7,5,5,0,2,0,0,13,2
PPTC7,192,199,156,71,90,177,218,401,537,568,618,771,916,90,53,157,98
PPWD1,100,104,85,27,40,357,463,555,773,330,417,438,609,65,57,87,85
PPY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PPY2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PQBP1,301,401,357,71,85,105,145,196,249,213,211,667,1264,187,58,249,97
PQLC1,620,537,545,237,278,96,96,120,143,88,103,659,1044,160,43,192,198
PQLC1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PQLC2,42,37,31,4,5,43,43,48,79,24,25,284,551,85,27,94,38
PQLC2L,0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,0,4
PQLC3,32,13,18,8,5,54,69,74,109,73,48,81,141,15,22,26,26
PRAC1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAC2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRADC1,88,73,64,30,22,27,44,26,53,45,38,269,563,74,32,102,31
PRADC1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAF2,637,630,607,207,243,48,76,134,181,125,106,370,378,61,13,70,313
PRAM1,1,4,3,0,0,2,5,4,2,4,2,16,2,0,0,0,4
PRAME,0,0,0,8,2,3,10,30,35,1,1,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF28P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF29P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF30P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF31P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF32P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF35P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF36P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMENP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRB2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
PRB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRC1,62,40,40,64,56,383,541,964,1427,251,228,117,226,118,71,78,88
PRCC,319,339,332,46,89,260,423,485,721,445,560,858,951,191,81,174,100
PRCD,44,31,18,4,16,8,9,6,11,11,15,3,38,7,11,2,11
PRCP,225,242,244,49,61,541,847,1383,1947,1206,1349,432,631,151,111,107,110
PRDM1,0,0,0,1,4,3,6,30,42,9,11,40,14,0,3,7,1
PRDM10,52,34,26,26,11,165,192,270,439,132,139,553,980,139,39,188,34
PRDM11,89,76,58,25,28,203,294,219,304,103,104,498,811,105,26,130,42
PRDM12,2,4,7,0,2,9,16,157,187,14,4,0,12,8,4,0,0
PRDM13,0,4,0,1,0,81,136,131,186,8,7,13,3,0,1,0,1
PRDM14,1,1,1,2,0,0,0,1,7,0,1,168,242,26,12,45,15
PRDM15,58,55,50,8,24,80,102,148,210,56,46,352,258,34,12,57,33
PRDM16,2,0,25,4,1,109,149,38,64,17,17,10,0,0,0,0,0
PRDM2,1368,1203,1145,235,342,1255,1769,2443,3523,2280,2091,2344,3492,823,155,458,817
PRDM4,330,271,282,67,80,702,1000,1655,2501,1013,1014,1520,2835,330,163,545,171
PRDM5,3,3,3,0,3,271,336,628,905,507,466,198,216,36,99,85,5
PRDM6,9,12,4,1,2,3,4,7,9,1,2,15,9,0,0,0,1
PRDM7,0,8,0,0,0,0,0,0,0,0,0,41,35,2,2,6,2
PRDM8,8,8,11,11,0,182,260,829,1168,176,164,5,32,0,5,1,157
PRDM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDX1,37,35,45,1050,1332,791,1266,2701,3828,1198,1334,5065,9868,1356,511,1710,7
PRDX1P1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
PRDX2,125,188,160,56,128,736,951,1549,2326,617,723,3671,7307,725,336,1158,13
PRDX2P1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0
PRDX2P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDX2P3,0,0,0,0,0,4,5,1,4,5,9,5,10,0,0,0,0
PRDX2P4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRDX3,492,463,479,196,192,515,728,1390,1923,885,897,1755,3376,439,179,565,139
PRDX3P1,0,1,0,0,0,0,0,0,0,0,1,12,21,6,0,1,1
PRDX3P2,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0
PRDX3P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDX3P4,0,0,1,0,0,1,0,0,0,0,0,31,11,0,3,18,0
PRDX4,135,140,164,70,70,101,169,420,563,464,468,307,558,99,50,114,86
PRDX4P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDX5,1259,1104,1111,207,240,443,602,677,938,340,385,3271,6901,901,328,1116,331
PRDX6,323,327,352,133,124,1089,1773,3876,5707,4621,5047,1047,1827,243,94,332,127
PREB,93,89,79,55,56,183,274,291,412,216,220,751,1028,114,63,206,13
PRELID1,5,0,1,189,205,232,353,626,920,569,580,801,1517,223,92,250,1
PRELID1P1,1,2,3,0,0,1,0,2,3,0,1,0,0,6,0,0,18
PRELID1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID1P3,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,5,0
PRELID1P4,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0
PRELID2,5,3,1,0,4,33,48,66,91,132,130,28,58,4,0,12,21
PRELID2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3A,69,68,78,1,19,37,33,26,48,30,22,104,139,27,8,15,35
PRELID3B,53,61,60,65,58,293,436,787,1062,657,716,969,2055,357,96,403,102
PRELID3BP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRELID3BP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3BP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELP,0,2,0,0,3,0,1,18,13,34,41,6,16,0,4,0,0
PREP,334,310,302,89,88,448,549,892,1285,367,355,1196,2066,282,118,337,152
PREPL,3966,3986,3586,1669,1628,3013,4475,5271,7360,3618,4250,10547,17461,2573,1191,3718,1979
PREX1,79,83,63,36,51,566,706,1544,2392,893,933,182,194,17,18,47,17
PREX2,18,17,28,1,2,907,1198,1420,1892,373,381,59,509,34,32,19,2
PRF1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
PRG2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
PRG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRG4,0,7,0,0,0,2,1,5,1,3,1,4,18,0,1,0,3
PRH1,95,59,39,5,5,10,10,7,12,3,7,13,13,6,1,6,14
PRH2,10,4,0,0,0,0,0,0,1,0,0,46,38,1,0,12,0
PRICKLE1,54,64,48,34,54,80,114,210,280,123,160,149,1200,223,36,155,62
PRICKLE2,566,621,562,280,282,796,1076,559,795,745,877,4074,6738,755,406,1009,359
PRICKLE3,0,0,0,0,0,0,1,0,0,2,1,5,2,1,6,0,0
PRICKLE4,1,0,0,1,0,8,15,15,16,8,6,73,137,3,7,10,4
PRIM1,105,111,98,10,12,147,156,229,320,128,118,196,197,86,4,89,61
PRIM2,18,12,18,9,8,134,217,308,451,106,83,151,309,55,11,63,12
PRIMA1,25,19,13,0,9,100,159,214,274,69,62,0,0,0,0,0,15
PRIMPOL,25,17,24,9,21,105,173,188,249,76,115,172,294,65,12,19,19
PRKAA1,123,123,107,59,75,312,433,682,944,518,551,1225,2775,727,155,484,93
PRKAA2,819,677,704,238,402,384,550,631,827,375,386,1319,2215,303,156,427,515
PRKAB1,161,212,206,101,134,212,300,461,668,479,490,636,934,122,43,170,69
PRKAB2,349,380,303,134,99,701,1038,1367,2024,2141,2193,1588,3442,352,170,510,259
PRKACA,1390,1003,1117,773,923,472,722,946,1415,1050,1159,1401,1651,297,72,359,970
PRKACB,2144,2168,1994,701,751,621,948,916,1168,194,218,3797,5692,1340,417,1067,1153
PRKACG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAG1,11,11,4,187,157,177,264,415,577,370,412,485,1267,149,84,145,261
PRKAG2,95,123,100,33,30,141,181,223,302,180,155,482,635,142,61,169,49
PRKAG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAR1A,5460,4737,4967,1022,1168,1713,2640,4473,5697,3812,4005,10366,17540,2435,1078,3533,1993
PRKAR1AP1,0,0,1,0,0,1,0,1,2,0,2,0,0,0,0,0,3
PRKAR1B,107,109,93,106,146,64,49,83,130,60,50,637,1381,238,140,238,553
PRKAR2A,3320,2789,2959,1690,1907,608,990,1687,2186,1665,1652,4791,8108,1288,491,1636,1762
PRKAR2B,4162,4392,4081,853,1118,648,924,853,1000,367,423,7986,14455,2086,1049,3058,2229
PRKCA,138,121,136,22,36,267,396,601,937,384,384,2205,2253,251,132,460,70
PRKCB,1844,1664,1636,606,664,87,132,325,420,292,324,2633,4393,673,395,710,1192
PRKCD,20,32,10,21,12,103,132,121,185,101,107,251,341,42,18,75,77
PRKCE,599,641,562,110,113,163,208,247,439,159,154,1957,3308,422,220,620,646
PRKCG,7,17,15,1,0,35,40,45,59,46,49,35,21,47,0,1,8
PRKCH,3,2,0,0,0,0,0,1,3,1,0,46,28,55,0,23,31
PRKCI,503,523,436,102,166,504,725,1077,1528,691,667,3403,4784,723,281,1019,268
PRKCQ,8,5,6,5,3,13,14,15,26,4,1,64,94,15,15,19,10
PRKCSH,62,67,58,17,21,825,1037,1566,2402,1652,1803,1984,2715,334,193,525,151
PRKCZ,3,4,6,226,273,119,135,115,175,93,103,674,1195,268,40,258,2
PRKD1,21,14,20,5,7,31,29,67,72,21,20,245,349,52,7,40,10
PRKD2,9,11,14,2,12,70,104,232,326,149,185,130,142,37,0,21,17
PRKD3,55,32,56,10,5,532,952,912,1229,407,385,208,399,159,28,87,51
PRKDC,814,702,649,178,212,4240,6353,10761,15616,5535,6301,6897,11261,1743,816,3417,392
PRKG1,68,54,66,44,53,27,50,290,338,25,28,2019,3869,483,250,919,202
PRKG2,31,22,9,7,6,1,3,13,14,10,6,333,489,88,25,184,31
PRKRA,153,96,111,213,209,648,949,965,1339,806,853,1205,2706,435,183,502,201
PRKRIP1,480,458,433,67,68,123,170,271,342,288,247,537,1086,109,63,187,257
PRKX,368,335,321,188,257,516,742,877,1239,294,290,1500,2700,555,147,435,281
PRKXP1,0,0,0,0,0,1,6,2,3,3,0,4,4,0,0,0,0
PRKY,0,0,0,0,0,0,1,214,307,144,134,377,268,106,8,90,28
PRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRLHR,0,4,2,0,0,0,1,0,0,0,0,49,102,5,0,21,50
PRLR,65,71,63,3,8,0,1,2,1,4,8,88,40,3,2,0,2
PRM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRM3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
PRMT1,1755,1227,1261,1443,1461,587,826,1265,1862,708,823,1507,3127,622,185,577,517
PRMT1P1,0,0,0,0,0,0,0,0,1,0,0,1,21,0,0,3,0
PRMT2,3678,3177,3167,1463,1794,565,737,745,1046,380,369,4076,6921,1169,304,1247,2111
PRMT3,45,24,25,15,13,225,345,501,572,186,189,211,471,112,34,97,8
PRMT5,4,2,0,117,147,406,572,1109,1572,601,568,869,1527,233,48,432,0
PRMT5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRMT6,105,153,134,90,45,242,363,409,502,110,115,680,1217,170,51,216,58
PRMT7,105,73,78,18,34,137,177,218,270,131,117,500,649,87,58,204,71
PRMT8,223,207,167,22,43,223,299,398,529,208,192,227,292,24,11,48,33
PRMT9,75,49,47,20,16,154,259,399,533,252,218,484,550,134,33,140,33
PRND,0,0,4,0,0,0,0,0,0,0,0,11,13,0,0,4,0
PRNP,778,916,812,204,261,390,470,615,870,794,810,3088,6097,794,380,1025,370
PROB1,39,50,41,7,16,8,9,32,38,13,16,44,51,6,19,14,9
PROC,1,2,3,0,0,0,0,0,1,0,0,6,6,0,0,1,4
PROCA1,87,88,86,20,37,75,90,86,104,47,45,127,207,31,6,50,37
PROCR,2,0,0,0,0,0,0,1,0,0,1,99,107,0,0,0,0
PRODH,0,0,0,0,0,1,4,15,20,7,9,21,47,9,0,23,0
PRODH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROK1,0,0,0,0,0,1,0,1,2,0,0,2,3,0,0,0,0
PROK2,2,2,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0
PROKR1,5,13,6,0,0,0,0,1,2,3,2,23,15,1,12,2,4
PROKR2,45,36,29,0,0,0,0,0,0,0,0,30,97,19,9,12,0
PROM1,2,2,3,0,3,424,558,958,1258,130,130,70,58,7,10,27,1
PROM2,12,7,7,0,0,41,31,23,26,12,16,44,130,8,4,7,2
PROP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRORSD1P,11,12,21,6,7,6,5,4,4,10,4,41,58,0,8,0,17
PROS1,68,47,67,6,3,83,132,270,359,148,138,1020,2012,334,127,401,38
PROS2P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PROSER1,69,95,88,23,43,552,823,1364,1959,716,884,547,577,80,10,84,40
PROSER2,0,0,1,1,0,13,21,20,38,70,67,1,24,4,4,0,0
PROSER3,19,21,27,30,46,140,228,288,415,129,153,225,315,91,52,70,20
PROX1,209,214,237,36,37,607,921,1655,2237,1020,1002,2352,3649,725,168,580,28
PROX2,14,7,12,2,1,1,0,0,0,0,0,42,68,2,2,11,0
PROZ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PRPF18,381,363,337,166,185,64,76,109,153,124,116,587,1024,198,66,195,289
PRPF19,499,395,461,149,148,630,903,1154,1683,949,1060,1172,1476,276,96,290,163
PRPF19P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRPF3,288,201,175,20,47,398,491,659,917,960,1153,556,1022,115,82,125,144
PRPF31,219,236,222,54,51,196,252,321,481,135,166,263,343,0,0,81,103
PRPF38A,369,349,366,158,170,577,868,1314,1665,1139,1198,582,994,165,68,296,258
PRPF38AP1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
PRPF38AP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
PRPF38B,506,501,447,139,249,526,657,975,1266,1093,1220,854,808,147,58,200,993
PRPF39,262,291,232,24,39,367,513,608,740,576,718,923,1668,250,76,249,192
PRPF4,286,227,297,53,74,275,453,766,1075,653,679,532,1124,163,72,190,137
PRPF40A,1477,1502,1398,398,503,2024,3034,3360,4362,2054,2174,2382,3978,972,356,1038,1083
PRPF40B,10,2,2,66,63,219,248,257,368,153,211,351,693,95,36,142,15
PRPF4B,1051,1126,994,211,261,1075,1477,1607,2032,1286,1548,2076,2999,448,179,404,1524
PRPF6,1050,992,936,323,410,485,605,876,1302,909,818,1829,3031,437,135,565,814
PRPF8,705,654,568,220,242,3184,4805,7615,11587,5683,6478,6429,9392,1151,436,1723,520
PRPH,40,34,26,33,20,53,63,46,60,23,17,12717,23075,2810,1380,4383,2916
PRPH2,11,13,6,1,1,1,1,0,0,0,0,48,81,7,5,3,5
PRPS1,377,354,436,225,301,233,399,762,1081,523,662,905,1538,373,164,356,144
PRPS1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRPS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRPS1P2,0,3,0,0,0,0,0,0,0,0,0,63,71,2,2,16,0
PRPS2,29,20,17,9,7,73,118,158,210,116,125,37,90,20,1,6,9
PRPSAP1,350,262,298,62,62,212,327,421,603,234,265,783,971,167,47,229,187
PRPSAP2,362,407,346,210,163,422,520,782,1053,484,472,1375,2463,395,197,362,144
PRR11,38,33,23,4,11,436,729,902,1297,453,394,55,75,15,3,4,11
PRR12,9,8,11,12,31,280,302,392,525,153,176,777,925,97,19,105,4
PRR13,241,192,181,116,160,74,135,311,433,405,447,242,544,39,22,70,41
PRR13P1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
PRR13P2,4,2,0,0,0,3,6,2,7,9,14,0,0,0,0,0,2
PRR13P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR13P4,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0
PRR13P5,0,2,1,0,0,0,1,1,0,3,0,0,0,19,0,0,0
PRR13P7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PRR14,174,145,183,52,47,153,162,179,278,121,122,175,376,19,33,48,59
PRR14L,729,736,660,165,241,1433,2134,3055,4306,1725,1613,4961,6348,860,358,1048,514
PRR15,2,0,0,0,0,0,0,0,0,1,0,19,1,0,0,0,0
PRR15L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR16,0,0,0,0,0,0,2,1,2,1,1,7,6,0,0,0,1
PRR18,5,10,14,1,0,4,3,1,2,1,4,15,22,12,1,2,4
PRR19,34,31,41,8,6,7,6,5,6,1,0,109,204,24,24,65,6
PRR20A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR20FP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR22,4,4,3,0,0,0,0,1,0,0,0,17,39,3,1,8,1
PRR23A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PRR23B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR23C,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,2,0
PRR23D1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
PRR26,8,8,8,0,0,0,1,0,0,2,0,218,97,5,11,45,10
PRR27,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0
PRR29,4,2,1,8,3,1,5,8,5,1,1,32,68,2,0,5,2
PRR3,108,116,108,61,104,219,336,570,873,611,625,57,0,0,29,50,24
PRR30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRR36,58,74,55,12,14,416,471,566,879,488,603,232,374,53,5,41,62
PRR5,57,37,46,15,13,34,40,32,36,11,9,402,551,80,45,80,43
PRR5-ARHGAP8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0
PRR5L,5,8,1,0,0,79,140,197,280,42,40,40,78,0,0,51,1
PRR7,92,77,59,191,148,5,9,7,8,7,13,94,140,15,13,23,48
PRR9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRRC1,378,389,386,130,105,579,867,1416,2118,1722,1807,1383,2182,371,130,414,180
PRRC2A,188,137,160,53,57,2359,3079,4893,7374,3749,4386,1379,1834,372,80,282,113
PRRC2C,2806,2843,2711,469,713,3730,4529,9327,13460,4797,4995,7519,10458,908,387,1394,4170
PRRC2CP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRRG1,75,94,115,30,53,143,212,303,404,178,228,288,538,43,14,92,46
PRRG2,3,3,0,0,1,1,2,1,4,2,3,0,0,0,0,5,0
PRRG3,86,74,78,88,71,1,0,1,0,7,10,54,78,17,3,11,38
PRRG4,0,0,5,1,1,0,1,0,4,18,19,20,34,0,0,1,9
PRRT1,88,88,85,33,27,16,20,46,47,19,28,0,0,0,0,0,131
PRRT2,1412,1260,926,842,959,178,241,141,257,205,222,1215,1666,194,147,312,941
