Gene_Name,Ramadoss_Neuron,Ramadoss_Neuron,Ramadoss_Neuron,Tian_Neuron,Tian_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Rummel_Neuron
ABHD11,21,18,8,4,2,39,48,54,64,49,42,73,179,23,2,36,11
ABHD11-AS1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
ABHD12,407,390,339,58,78,140,222,266,366,237,256,595,1117,290,37,169,154
ABHD12B,9,3,0,2,7,0,0,0,2,4,2,52,31,6,2,4,5
ABHD13,130,145,144,59,67,233,411,560,783,511,457,889,1479,245,119,277,64
ABHD14A,283,286,262,37,57,17,27,60,64,24,35,340,721,89,35,141,143
ABHD14A-ACY1,0,0,0,0,0,0,0,2,1,0,0,53,104,0,0,15,0
ABHD14B,8,9,7,9,8,32,42,41,75,34,43,54,31,1,6,16,10
ABHD15,4,3,2,1,1,24,39,66,113,46,64,23,26,4,1,6,0
ABHD16A,0,0,0,1,0,20,25,20,35,21,39,729,1246,167,46,218,1
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,40,78,12,0,4,0
ABHD17A,403,379,295,16,37,78,71,67,104,49,50,573,1118,132,40,195,8
ABHD17AP1,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,1
ABHD17AP3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119
ABHD17AP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,411,398,304,51,37,230,412,611,814,574,571,824,1647,240,81,227,170
ABHD17C,584,530,465,388,498,175,354,462,678,267,358,602,918,145,51,204,226
ABHD18,101,77,89,27,15,133,183,218,328,190,184,517,1025,105,56,133,81
