Gene_Name,Processed_Ramadoss_iPSC_1,Processed_Ramadoss_iPSC_2,Processed_Ramadoss_iPSC_3,Processed_Lisowski_iPSC1,Processed_Lisowski_iPSC2,Processed_Lisowski_iPSC3,Processed_Susco_iPSC_1,Processed_Susco_iPSC_2,Processed_Susco_iPSC_3,Processed_Susco_iPSC_4,Processed_Susco_iPSC_5
MEIOC,8,8,8,374,238,246,418,184,283,311,840
MEIS1,13,8,3,105,8,22,0,0,0,4,65
MEIS2,88,112,149,144,24,60,0,0,0,0,35
MEIS3,300,242,223,483,225,317,216,112,118,220,158
MEIS3P1,0,0,0,62,34,53,55,19,78,66,38
MEIS3P2,0,0,0,12,14,6,82,30,67,29,2
MELK,352,365,349,1376,1856,1681,1111,708,980,907,988
MELTF,70,50,41,51,44,55,71,70,193,97,158
MEMO1,23,26,55,88,135,139,525,362,695,677,607
MEMO1P1,1,2,2,3,2,7,20,0,0,0,0
MEMO1P3,0,0,0,0,0,0,0,0,0,0,0
MEMO1P4,0,0,0,2,0,4,0,0,0,3,0
MEMO1P5,0,0,0,0,0,0,0,0,0,0,0
MEN1,530,509,445,439,287,372,402,215,439,360,407
MEOX1,0,0,0,1,2,1,0,0,0,0,0
MEOX2,0,0,0,6,5,3,0,14,0,7,0
MEP1A,0,0,0,0,0,0,0,0,0,0,0
MEP1AP4,0,0,0,0,0,0,0,0,0,0,0
MEP1B,0,0,0,1,0,0,0,0,0,2,0
MEPCE,1,0,0,573,292,411,857,294,567,557,603
MEPE,2,2,0,1,0,1,0,0,0,0,0
MERTK,11,15,21,274,338,296,189,97,168,169,144
MESP1,13,6,9,1,1,1,0,0,12,5,0
MESP2,1,4,4,5,0,3,47,29,33,12,17
MEST,83,271,403,2345,2531,2484,3272,2367,2985,2644,2939
MESTP1,0,0,0,0,0,1,0,0,1,0,0
MESTP2,0,0,0,0,0,0,0,0,0,0,0
MESTP3,0,0,0,1,0,0,0,0,0,0,0
MESTP4,0,0,0,0,0,0,0,0,0,0,0
MET,80,61,77,267,709,585,1024,120,464,391,193
METAP1,1014,1042,886,3464,2891,2908,1971,1050,1343,1847,1433
METAP1D,32,36,33,58,80,80,32,34,87,48,17
METAP2,8118,7544,6214,2132,2473,2345,3177,1639,2807,2584,2696
METRN,18,22,25,15,12,7,319,197,132,213,131
METRNL,318,239,253,39,35,67,154,80,225,171,129
METTL1,557,504,450,116,115,137,215,57,113,115,91
METTL11B,11,12,23,6,4,4,0,0,22,1,0
METTL13,497,633,629,806,726,687,731,371,427,666,622
METTL14,311,386,374,716,931,868,474,393,1207,1144,903
METTL15,181,189,188,627,638,635,835,454,886,642,1072
METTL15P1,3,1,0,13,5,5,26,30,9,19,16
METTL15P3,0,0,0,0,0,0,0,0,0,0,0
METTL16,542,693,618,1576,1375,1547,1184,936,1617,1060,1281
METTL17,13,27,23,713,958,901,531,262,458,510,562
METTL18,63,116,87,126,102,128,216,120,205,159,159
METTL21A,398,456,432,358,380,409,1628,714,1555,1143,1597
METTL21AP1,0,0,0,22,27,21,0,0,0,2,0
METTL21C,0,0,0,0,1,0,0,0,0,0,0
METTL21EP,0,0,0,1,9,1,0,0,0,0,0
METTL22,134,134,150,787,648,762,267,266,350,225,323
METTL23,256,279,297,157,171,154,447,232,432,315,368
METTL24,0,1,1,6,12,4,9,0,0,1,2
METTL25,140,110,163,43,70,57,152,71,38,66,82
METTL26,809,535,494,190,127,145,225,180,300,293,224
METTL2A,293,375,336,492,561,562,787,581,582,603,662
METTL2B,469,545,510,453,417,602,1206,635,1273,1103,971
METTL3,22,41,37,1345,1536,1481,1146,711,1065,942,881
METTL4,54,104,81,321,399,393,172,263,235,128,388
METTL5,119,155,232,656,574,576,1043,599,1230,842,941
METTL6,257,210,216,303,247,269,209,145,182,177,176
METTL7A,616,677,478,678,464,547,341,184,320,267,291
METTL7AP1,0,0,0,0,0,0,0,0,0,0,0
METTL7B,2,7,4,12,15,20,0,14,0,3,2
METTL8,359,471,518,990,1532,1364,1245,860,965,919,1745
METTL8P1,0,4,2,0,0,0,0,0,0,0,0
METTL9,802,1241,1113,2241,2008,1944,1927,1391,1835,2037,2047
MEX3A,1557,1754,1372,2867,2649,2806,1593,345,798,779,725
MEX3B,26,40,31,196,139,139,174,124,210,157,183
MEX3C,284,408,343,2298,2210,2263,2562,1188,2337,1832,1821
MEX3D,283,291,281,293,256,340,766,569,490,629,741
MFAP1,659,910,850,709,621,658,981,466,690,706,764
MFAP1P1,0,0,0,0,1,2,0,0,0,0,0
MFAP2,4,2,2,501,300,345,618,347,655,506,566
MFAP3,109,182,202,498,646,616,464,284,669,401,490
MFAP3L,38,49,48,239,725,556,271,252,331,261,731
MFAP4,6,3,10,39,35,42,146,29,114,92,151
MFAP5,1,0,1,4,7,5,8,36,25,12,9
MFF,747,765,662,1035,1166,1060,1436,761,1437,1159,1283
MFGE8,1455,1295,767,4950,1943,2776,7480,4280,6566,5438,5457
MFHAS1,1406,1214,946,1467,1511,1564,1718,994,1433,1299,1321
MFN1,317,310,339,1110,1350,1336,1790,904,1788,1054,1719
MFN2,788,763,658,1492,1292,1379,1477,673,1165,1147,1335
MFNG,1,0,4,42,5,11,37,48,24,22,9
MFRP,0,0,0,0,0,0,0,0,30,0,0
MFSD1,40,87,122,84,167,119,84,47,18,53,91
MFSD10,665,783,506,341,164,234,693,355,579,503,506
MFSD11,120,104,116,356,346,384,354,348,640,443,402
MFSD12,72,44,37,188,195,212,499,191,565,313,358
MFSD13A,152,171,142,176,129,196,299,28,134,86,150
MFSD13B,2,8,1,1,4,0,0,0,12,1,8
MFSD14A,12,6,4,17,12,8,1305,893,1279,996,1166
MFSD14B,122,244,177,704,1196,1088,778,364,688,610,580
MFSD14C,0,0,0,211,327,307,1132,415,1036,369,212
MFSD1P1,0,0,0,0,0,0,9,0,0,5,14
MFSD2A,77,75,62,60,98,119,156,105,145,114,171
MFSD2B,113,110,112,8,3,4,16,0,20,12,0
MFSD3,899,653,546,102,86,112,477,176,387,300,356
MFSD4A,1,0,1,6,8,7,8,85,66,27,11
MFSD4B,168,206,131,351,420,444,331,300,693,306,475
MFSD4BP1,0,0,0,0,0,0,0,0,0,0,0
MFSD5,286,283,264,135,148,127,256,80,87,78,101
MFSD6,13,17,13,52,125,139,75,43,32,44,180
MFSD6L,6,5,2,7,11,21,80,90,91,106,61
MFSD8,86,80,125,323,647,641,214,158,420,247,298
MFSD9,61,82,61,205,312,330,372,309,357,212,912
MGA,390,491,415,3109,3581,3350,2882,1332,1984,1726,2096
MGAM,0,1,0,15,20,20,0,0,0,0,166
MGARP,6,20,13,25,10,11,93,35,113,46,28
MGAT1,631,671,521,610,666,704,1156,764,1135,759,865
MGAT2,0,0,0,300,343,294,633,446,551,535,620
MGAT2P1,0,0,0,0,0,0,0,0,0,0,0
MGAT2P2,0,0,0,0,0,0,0,0,0,0,0
MGAT3,41,121,112,216,136,175,284,158,256,260,287
MGAT4A,10,22,7,87,163,137,239,260,445,273,255
MGAT4B,1052,866,643,791,646,698,1022,511,840,644,782
MGAT4C,297,226,241,105,66,66,354,73,114,213,227
MGAT4D,0,0,0,0,0,0,0,0,0,0,0
MGAT4EP,0,0,0,0,1,2,2,0,17,8,16
MGAT5,349,418,406,1813,2270,2181,1169,829,1457,852,766
MGAT5B,2,3,4,146,79,123,72,50,111,55,86
MGEA5,1253,1422,1299,6953,6331,6665,4572,2487,3878,3511,4454
MGLL,6,4,6,4,2,12,107,20,99,54,110
MGME1,489,565,553,939,920,966,987,786,817,735,734
MGMT,125,94,69,139,99,104,467,327,640,378,426
MGP,1,0,0,0,0,0,0,10,1,1,0
MGRN1,302,281,229,503,340,499,518,321,355,361,439
MGST1,1160,1947,1860,2718,3027,2993,2636,1184,2182,2125,2125
MGST2,153,180,168,82,76,97,125,105,123,93,133
MGST3,830,1705,1599,1208,1470,1408,687,422,710,647,607
MIA,0,0,0,0,0,0,0,0,0,0,14
MIA3,289,340,292,1583,2050,1831,3965,1378,3487,2234,2860
MIA-RAB4B,0,0,0,0,0,0,0,0,0,0,0
MIB1,721,935,914,6699,6761,6542,6122,3624,5442,4375,5537
MIB2,122,97,76,79,42,41,782,363,769,340,346
MICA,53,45,56,253,197,194,0,0,55,82,0
MICAL1,124,108,124,512,417,462,805,336,652,520,526
MICAL2,12,8,9,17,39,25,77,25,58,22,20
MICAL3,57,83,73,1123,983,1036,554,710,1002,391,432
MICALL1,146,142,169,358,418,434,483,348,495,348,492
MICALL2,13,23,12,18,17,34,103,94,88,46,71
MICB,336,278,205,781,543,656,409,217,248,207,213
MICC,0,0,0,0,0,0,0,0,0,0,0
MICD,0,0,0,5,0,3,0,0,0,0,0
MICE,0,0,0,22,33,33,0,0,0,0,0
MICU1,214,223,222,971,820,847,778,459,848,629,850
MICU2,372,506,453,675,954,858,913,493,1026,710,826
MICU3,98,120,110,344,341,363,149,245,146,135,250
MID1,259,309,254,2247,2001,2056,773,624,866,462,579
MID1IP1,509,710,669,980,820,880,2528,1343,2502,1741,1925
MID2,37,34,35,104,82,87,32,28,88,59,51
MIDN,2556,2857,2633,1459,930,1353,1150,829,988,1132,900
MIEF1,938,960,911,1241,1214,1286,1072,509,838,891,960
MIEF2,58,67,50,84,91,86,205,87,374,128,55
MIEN1,390,492,378,297,179,219,259,198,408,278,365
MIER1,972,1103,1050,1665,1940,1856,1456,639,1223,950,1063
MIER2,11,14,32,426,251,288,563,205,189,357,405
MIER3,146,236,223,1008,964,904,1014,561,1018,766,813
MIF,0,0,0,84,9,25,4947,2546,3517,3843,3993
MIF4GD,10,7,18,203,141,174,343,196,214,236,324
MIGA1,98,117,78,365,512,543,418,418,543,408,701
MIGA2,161,126,125,231,174,219,294,104,136,175,238
MIIP,145,139,129,184,114,149,484,271,363,341,358
MILR1,0,0,1,0,1,0,0,0,10,12,13
MINK1,5,3,6,829,661,811,779,331,761,632,978
MINOS1,903,1220,881,76,134,139,640,398,371,441,387
MINOS1-NBL1,0,0,0,0,0,0,0,0,0,0,18
MINOS1P2,0,0,1,0,0,0,0,0,0,0,0
MINOS1P3,0,0,0,0,0,0,0,0,0,0,0
MINOS1P4,0,0,0,3,7,9,0,0,0,0,0
MINPP1,198,257,244,356,506,446,629,334,736,495,636
MIOS,203,252,255,946,972,1087,1489,1042,995,820,1155
MIOX,0,0,0,6,4,1,11,0,13,5,9
MIOXP1,0,0,0,0,0,0,0,0,0,0,0
MIP,0,0,0,0,0,0,7,0,6,0,0
MIPEP,136,210,254,333,432,411,369,77,198,222,280
MIPEPP1,0,0,0,0,0,1,0,0,0,0,0
MIPEPP2,0,0,0,0,0,0,0,0,0,0,0
MIPEPP3,0,0,0,4,12,13,3,0,2,6,4
MIPOL1,72,81,60,360,509,496,1091,1123,864,1061,926
MIS12,249,333,266,514,568,510,844,401,1100,561,695
MIS18A,865,1155,1128,499,512,514,972,616,1026,806,887
MIS18BP1,1354,1798,1637,2113,2644,2421,1817,946,1440,1697,1688
MISP,0,0,0,3,1,2,11,0,28,8,8
MISP3,0,8,14,14,7,18,26,11,22,15,14
MITD1,488,608,615,226,334,285,405,173,373,339,442
MITF,5,13,3,4,36,22,1,0,0,3,2
MIXL1,62,61,42,11,173,127,33,54,21,8,24
MKI67,1797,2265,2001,12912,14384,13404,3289,2065,1954,1931,2343
MKI67P1,0,0,0,0,0,0,0,0,0,0,0
MKKS,118,174,227,457,690,636,497,103,490,354,399
MKL1,51,49,49,492,401,458,697,224,616,419,640
MKL2,49,75,99,1039,1440,1278,514,310,581,259,785
MKLN1,320,366,336,3592,3360,3392,2147,1102,2283,1560,2634
MKNK1,103,112,130,294,421,346,207,117,123,145,206
MKNK2,617,795,606,548,406,551,2298,958,1501,1503,1891
MKNK2P1,0,0,0,0,0,0,0,0,0,0,0
MKRN1,561,760,788,3781,2725,2851,3147,1258,3252,2400,2528
MKRN2,1,5,1,499,408,511,908,622,662,579,693
MKRN2OS,0,2,0,4,0,4,12,13,0,13,20
MKRN3,2,0,0,5,1,2,0,0,0,0,0
MKRN4P,0,0,0,1,0,0,0,0,0,0,0
MKRN5P,0,3,0,33,56,48,8,0,0,2,0
MKRN7P,0,4,0,3,6,5,9,0,0,0,0
MKRN9P,0,0,0,0,0,1,0,0,21,3,0
MKS1,186,186,129,256,216,237,292,189,341,226,113
MKX,3,13,19,8,12,15,0,29,39,52,37
MLANA,1,0,0,0,3,1,72,46,0,17,7
MLC1,0,1,6,4,3,3,0,0,24,0,0
MLEC,3548,3835,3554,9156,14439,12584,9661,4682,8509,6651,7143
MLECP1,0,0,0,0,0,0,0,0,0,0,0
MLH1,458,403,380,1151,1111,1184,834,507,480,498,845
MLH3,80,87,104,603,699,667,716,393,829,545,678
MLIP,0,0,0,1,0,0,0,55,0,2,33
MLKL,1,1,0,3,11,7,4,26,1,7,29
MLLT1,371,416,400,466,327,379,565,246,438,298,383
MLLT10,457,467,486,2520,2296,2385,1345,417,929,889,835
MLLT10P1,1,0,4,0,1,2,0,0,0,0,0
MLLT11,266,421,335,1050,915,925,586,280,575,443,481
MLLT3,122,138,130,394,188,259,562,114,347,177,169
MLLT6,185,216,147,609,505,609,46,47,88,42,24
MLN,0,0,0,0,0,0,0,0,0,0,0
MLNR,0,0,0,0,1,1,2,0,0,0,2
MLPH,16,21,15,25,26,30,160,35,155,32,30
MLST8,45,44,92,300,143,191,729,403,677,497,546
MLX,426,298,303,697,566,577,593,383,434,501,511
MLXIP,283,265,253,940,1233,1389,852,433,378,705,525
MLXIPL,13,7,16,88,48,61,115,15,90,61,67
MLYCD,14,12,14,270,332,366,307,342,512,119,341
MMAA,17,74,43,170,154,164,192,186,335,146,235
MMAB,278,240,218,346,257,303,291,184,381,284,371
MMACHC,64,82,50,207,149,205,330,116,501,292,210
MMADHC,1117,1433,1250,1740,1450,1478,2447,1482,2631,2071,2354
MMD,147,226,280,1787,1529,1638,1267,769,1024,932,1028
MMD2,0,0,0,6,6,3,0,0,0,0,0
MME,37,63,52,329,308,321,1029,846,819,804,872
MMEL1,0,0,0,18,10,7,0,48,0,7,23
MMGT1,748,546,559,587,628,647,884,393,419,651,569
MMP1,0,3,0,0,0,0,0,0,0,0,0
MMP10,0,3,2,0,0,1,0,0,0,0,0
MMP11,47,43,68,90,41,56,147,93,141,100,140
MMP12,0,0,0,0,0,0,0,0,0,5,0
MMP13,0,0,0,0,0,0,0,0,0,0,0
MMP14,271,296,178,1092,1599,1564,1473,627,1309,1010,1264
MMP15,283,267,258,655,456,596,1399,954,1361,1137,1167
MMP16,240,228,178,1464,1296,1305,3446,1972,3037,2543,1945
MMP17,12,8,9,586,142,261,361,220,349,216,187
MMP19,1,0,3,13,28,27,3,18,16,10,0
MMP2,220,205,208,1452,846,1088,746,388,712,625,712
MMP20,1,0,0,0,0,0,0,0,0,0,0
MMP21,0,1,0,0,0,1,12,0,0,0,0
MMP23A,0,0,0,0,0,0,0,0,0,24,0
MMP23B,2,2,0,0,0,1,131,158,173,88,143
MMP24,0,5,0,67,116,105,266,128,312,204,234
MMP25,260,373,339,468,575,635,309,226,205,240,248
MMP26,0,0,0,1,0,0,0,0,0,0,0
MMP27,0,0,0,0,1,0,0,0,0,0,0
MMP28,5,0,2,0,1,0,0,0,0,0,0
MMP3,0,0,0,0,0,0,0,0,0,0,0
MMP7,0,0,0,0,0,0,0,0,0,0,0
MMP8,0,0,0,0,0,0,0,0,0,0,0
MMP9,10,16,24,33,137,133,386,137,245,270,210
MMRN1,0,0,0,77,47,54,0,0,0,1,0
MMRN2,14,12,3,53,22,45,37,29,37,28,29
MMS19,1825,1504,1046,3026,1904,2145,2279,1167,1865,1955,2015
MMS22L,278,311,315,1520,2284,2117,1751,819,1401,985,806
MN1,162,193,264,1052,728,806,132,72,138,104,80
MNAT1,544,697,666,413,860,726,768,391,928,492,705
MND1,20,4,3,454,473,525,406,235,409,275,354
MNDA,0,0,0,0,0,0,0,0,0,0,0
MNS1,133,124,124,30,76,55,41,7,59,22,42
MNT,73,125,104,367,252,347,298,121,133,143,109
MNX1,6,3,13,3,22,14,0,0,0,0,0
MOAP1,51,55,66,354,317,340,501,300,380,0,360
MOB1A,246,365,406,2202,2942,2785,3974,2318,3441,3013,3409
MOB1AP1,0,0,0,0,1,1,0,0,0,0,0
MOB1AP2,0,0,0,0,0,0,0,0,0,0,0
MOB1B,87,147,145,1651,1863,1840,1693,783,1461,1261,1586
MOB2,88,90,119,129,72,77,140,130,127,97,95
MOB3A,22,26,22,119,92,125,63,34,103,64,84
MOB3B,327,491,523,2013,1413,1462,816,454,656,691,688
MOB3C,5,10,4,31,39,31,99,48,91,34,63
MOB4,2290,1743,1447,1181,916,1017,3764,2237,4034,3181,3753
MOBP,2,0,0,0,2,1,7,1,26,3,7
MOCOS,29,31,39,188,192,200,326,183,318,268,830
MOCS1,152,126,137,306,242,250,398,393,508,324,399
MOCS1P1,0,0,0,0,0,0,0,0,0,0,0
MOCS2,222,330,247,164,200,161,424,89,186,260,248
MOCS3,186,192,164,147,192,184,365,89,247,164,225
MOG,3,4,0,3,7,8,32,0,20,4,6
MOGAT1,2,0,0,2,2,4,1,0,16,5,0
MOGAT2,0,0,0,0,0,0,0,0,0,0,0
MOGAT3,2,5,1,3,6,8,16,13,7,13,14
MOGS,292,327,338,772,780,842,1118,604,792,851,771
MOK,59,41,24,22,28,27,7,23,5,8,62
MON1A,122,58,70,44,47,46,35,47,59,60,47
MON1B,432,431,367,554,430,513,660,538,721,604,409
MON2,74,85,103,1882,1933,1860,1177,696,1908,1046,1266
MORC1,1,0,0,0,0,0,0,0,0,0,0
MORC2,95,133,120,1543,1752,1696,926,677,821,714,885
MORC3,204,188,162,1064,1005,974,1173,650,1111,774,1048
MORC4,20,37,27,135,250,241,427,387,407,305,337
MORF4,1,6,4,3,2,0,0,0,0,0,0
MORF4L1,10904,10753,9751,6836,6328,6139,7924,4402,6673,5770,6623
MORF4L1P1,883,1263,1134,313,248,292,14,0,4,0,0
MORF4L1P4,0,0,0,0,0,0,0,1,0,0,0
MORF4L1P5,0,0,0,0,0,0,7,0,0,0,0
MORF4L1P6,0,0,0,0,0,0,0,0,0,0,0
MORF4L1P7,0,0,0,0,0,0,0,0,0,0,0
MORF4L2,2553,2703,2285,3996,3893,3902,7921,4674,7667,6250,7628
MORF4L2P1,0,1,1,0,0,0,0,0,0,0,0
MORN1,32,28,47,102,94,121,176,97,72,103,204
MORN2,111,136,170,73,65,91,146,66,60,67,62
MORN3,7,12,9,4,17,15,40,24,38,15,5
MORN4,127,124,148,233,140,184,211,256,328,240,279
MORN5,0,0,0,1,1,2,0,0,0,0,0
MOS,0,0,0,0,0,0,2,0,0,3,0
MOSPD1,250,248,221,455,614,560,375,265,614,530,467
MOSPD2,69,145,121,638,547,565,403,165,442,305,269
MOSPD3,227,235,195,60,49,61,73,32,72,64,48
MOV10,199,178,192,1061,625,779,728,303,631,346,734
MOV10L1,0,0,0,1,2,3,1,0,0,2,5
MOXD1,11,6,4,79,43,43,247,135,236,172,188
MOXD2P,0,0,0,0,0,0,0,0,0,0,0
MPC1,155,178,177,94,141,136,136,71,239,134,122
MPC1L,0,0,0,0,0,0,0,0,0,0,0
MPC2,295,465,440,238,239,227,326,189,277,444,439
MPDU1,183,151,159,527,511,471,742,237,467,320,335
MPDZ,322,376,382,2267,2309,2187,2689,922,836,1175,1028
MPEG1,0,0,0,0,1,0,0,0,0,0,0
MPG,1,2,3,99,60,63,332,240,443,327,220
MPHOSPH10,1032,1388,1386,572,667,681,779,540,1051,593,1029
MPHOSPH6,1883,1764,1303,347,345,376,600,412,372,389,495
MPHOSPH8,958,1233,1255,546,623,625,820,652,996,515,724
MPHOSPH9,154,187,191,1354,1677,1528,1862,1085,1666,1242,1661
MPI,182,222,204,1207,499,708,1117,822,1371,859,1101
MPL,1,2,0,1,0,3,0,6,0,0,0
MPLKIP,518,616,492,322,476,430,485,201,464,363,416
MPND,81,47,42,159,69,101,197,57,102,123,107
MPO,0,0,0,1,2,0,0,2,0,0,0
MPP1,46,54,33,143,190,193,436,307,552,322,432
MPP2,381,385,394,531,312,380,564,209,384,413,381
MPP3,29,36,29,109,100,119,110,212,5,64,76
MPP4,0,0,0,1,2,4,7,10,0,4,12
MPP5,313,380,368,1176,1234,1248,1075,523,563,792,1064
MPP6,809,1078,1022,1871,2776,2540,723,336,1162,1048,704
MPP7,33,55,62,176,277,235,318,169,383,290,231
MPPE1,8,6,4,235,393,359,587,407,305,285,694
MPPE1P1,0,0,0,8,6,8,21,0,0,0,0
MPPED1,9,5,7,1,5,8,0,7,0,0,0
MPPED2,26,24,33,122,92,96,52,24,163,76,283
MPRIP,271,366,393,2916,2610,2958,2084,1307,2185,2089,2594
MPRIPP1,0,1,0,1,1,0,26,17,21,6,7
MPST,772,741,659,291,278,333,717,432,544,581,460
MPTX1,0,0,0,0,0,0,0,0,0,0,0
MPV17,222,317,338,576,448,515,288,127,220,180,165
MPV17L,11,3,4,61,94,87,237,109,230,81,134
MPV17L2,158,218,201,128,127,133,171,135,132,165,276
MPZ,20,8,3,47,24,49,39,15,34,57,33
MPZL1,213,335,284,2193,2655,2466,2230,1363,1960,1919,1863
MPZL2,4,12,2,10,19,23,81,14,162,37,9
MPZL3,14,13,9,30,81,62,114,80,136,82,149
MR1,0,1,2,2,6,5,30,1,3,5,10
MRAP,0,0,0,1,0,0,0,0,0,0,11
MRAP2,45,50,64,75,58,55,111,97,101,113,140
MRAS,145,175,124,143,139,118,262,230,216,192,281
MRC1,2,2,0,2,5,6,7,0,14,2,12
MRC2,171,170,158,590,258,404,379,193,370,281,322
MREG,66,103,129,212,334,303,479,314,522,350,426
MRFAP1,4567,4377,4681,3142,3174,3034,4897,2590,3701,3304,3728
MRFAP1L1,2096,1919,1548,650,653,604,1156,626,1012,838,1143
MRGBP,285,280,258,409,331,358,484,224,207,417,309
MRGPRD,0,0,0,0,0,0,0,0,0,0,0
MRGPRE,0,0,0,0,0,1,0,0,0,0,11
MRGPRF,0,9,7,17,10,16,79,51,56,59,33
MRGPRG,0,0,0,0,0,0,0,0,0,0,0
MRGPRX1,0,0,0,0,0,0,0,0,0,0,0
MRGPRX2,0,0,0,0,0,0,0,0,0,0,0
MRGPRX3,0,0,0,0,0,0,30,0,1,1,4
MRGPRX4,0,0,0,0,0,0,0,0,0,0,0
MRI1,26,51,61,176,149,199,331,112,174,215,302
MRLN,3,3,5,0,1,0,0,0,0,0,5
MRM1,112,83,102,66,56,71,100,29,67,73,88
MRM2,0,0,2,351,377,400,701,301,498,427,326
MRM3,261,283,255,198,158,194,180,80,260,194,253
MRO,12,5,1,27,31,21,78,51,28,24,19
MROH1,45,40,39,128,153,170,336,209,215,319,446
MROH2A,0,0,0,1,0,0,0,8,0,0,0
MROH2B,0,0,0,0,0,0,0,0,0,0,0
MROH3P,0,0,0,2,1,3,11,0,0,1,0
MROH4P,0,0,0,0,0,0,0,0,0,0,0
MROH5,0,0,0,0,1,0,0,0,0,0,0
MROH6,18,13,14,14,8,10,37,4,0,0,0
MROH7,0,0,0,2,7,1,36,6,0,6,20
MROH7-TTC4,0,0,0,0,0,0,19,0,0,4,5
MROH8,2,6,2,26,41,35,39,0,5,4,0
MROH9,0,0,0,0,0,0,1,28,0,3,0
MRPL1,1617,1868,1617,157,254,184,248,122,263,125,335
MRPL10,285,410,452,1134,809,892,1408,933,1217,1145,1374
MRPL11,1921,2273,2175,795,652,707,1101,662,923,932,967
MRPL12,727,558,469,4,6,4,628,293,410,430,337
MRPL13,806,1404,1294,566,583,566,681,683,684,562,659
MRPL14,907,991,1158,484,457,404,495,269,483,400,328
MRPL15,1822,2029,1810,587,631,587,547,391,773,683,966
MRPL15P1,0,0,0,1,0,1,0,0,0,0,0
MRPL16,625,1021,1018,474,624,603,708,344,616,586,625
MRPL17,791,967,875,585,642,564,767,458,835,712,855
MRPL18,726,1020,1027,547,646,579,875,504,826,655,797
MRPL19,393,532,489,1250,1505,1417,2167,1084,3008,1619,1721
MRPL2,102,98,77,485,409,396,420,249,546,361,346
MRPL20,1025,1142,1672,459,501,515,633,410,615,605,519
MRPL20P1,0,0,0,0,1,0,0,0,0,0,0
MRPL21,4166,3857,2909,326,341,354,346,218,359,329,435
MRPL22,826,902,855,546,603,552,412,215,405,346,339
MRPL22P1,0,0,0,0,0,3,0,0,0,0,0
MRPL23,1,1,0,175,90,144,592,283,361,392,418
MRPL24,660,730,647,449,421,433,357,103,259,244,125
MRPL27,1387,1212,1191,544,492,464,462,214,458,353,420
MRPL28,401,361,370,477,267,366,833,614,708,752,696
MRPL2P1,0,0,0,0,2,0,0,0,0,0,0
MRPL3,1989,2292,2267,1687,2559,2314,2427,1430,2155,1958,2316
MRPL30,1202,1377,1237,648,461,555,1366,1140,1339,1193,1118
MRPL30P1,0,0,0,0,0,0,0,0,0,0,0
MRPL32,434,885,955,531,860,823,603,290,494,522,559
MRPL32P1,0,0,0,0,0,0,0,0,0,0,0
MRPL33,576,1124,1140,366,509,491,366,148,418,362,439
MRPL34,1089,1642,1921,193,205,226,454,253,400,347,335
MRPL35,711,742,640,619,820,705,1153,464,1495,835,1042
MRPL35P1,0,0,0,1,4,3,0,0,0,0,7
MRPL35P2,1,0,1,0,0,0,1,0,0,0,0
MRPL35P3,0,0,0,0,4,7,0,0,0,0,0
MRPL35P4,2,0,0,3,0,1,0,0,0,0,0
MRPL36,498,659,808,220,233,273,236,124,291,175,182
MRPL37,1336,1357,1496,1287,1202,1275,1366,762,1056,1199,1306
MRPL37P1,0,0,0,5,17,7,0,0,0,0,0
MRPL38,3,2,0,37,30,40,390,204,772,331,314
MRPL39,27,180,147,659,536,582,867,502,658,749,841
MRPL3P1,2,5,1,0,0,0,0,0,0,0,0
MRPL4,89,141,164,246,161,214,625,405,569,520,421
MRPL40,462,417,494,177,163,147,242,204,287,229,216
MRPL40P1,0,0,4,1,8,6,10,0,17,0,0
MRPL41,1392,1276,1148,77,51,67,335,306,230,256,207
MRPL42,1207,1501,1359,3358,3864,3962,5354,2958,4941,3482,4557
MRPL42P2,0,0,0,0,0,0,0,0,0,0,0
MRPL42P3,0,0,0,0,1,0,0,0,0,0,0
MRPL42P4,0,0,0,0,0,0,0,0,0,0,0
MRPL42P6,0,0,0,0,0,2,0,0,0,0,0
MRPL43,528,602,528,477,482,507,564,430,564,522,454
MRPL44,272,338,245,645,669,707,963,457,916,832,713
MRPL45,1279,1536,1302,872,967,881,0,0,0,0,0
MRPL45P1,0,0,0,0,0,0,0,0,0,0,0
MRPL46,9,14,8,167,199,144,361,22,164,191,196
MRPL47,1448,1910,2170,561,730,642,879,490,870,736,865
MRPL48,371,566,470,225,318,264,262,253,232,266,337
MRPL48P1,0,0,0,0,0,0,0,0,0,0,0
MRPL49,44,143,252,657,580,670,809,482,744,628,600
MRPL49P1,0,0,0,0,0,0,0,0,0,0,0
MRPL49P2,0,0,0,0,0,0,0,0,0,0,0
MRPL50,402,641,641,609,694,650,1059,600,1075,824,1024
MRPL50P1,0,0,0,0,0,2,0,0,0,0,0
MRPL50P2,0,0,0,0,0,0,0,0,0,0,0
MRPL50P4,0,0,0,0,0,0,0,0,0,0,0
MRPL51,3887,4208,4466,1212,1233,1287,1621,833,1292,1085,1119
MRPL51P2,0,0,0,0,0,0,0,0,0,0,0
MRPL52,1738,1771,1853,586,486,447,847,381,748,603,657
MRPL53,0,0,0,17,17,20,174,130,118,160,150
MRPL53P1,0,0,3,0,0,0,0,0,0,0,0
MRPL54,608,628,542,152,70,113,283,178,257,187,232
MRPL55,686,568,441,125,109,145,167,137,225,208,235
MRPL57,1658,1866,1691,347,348,331,910,337,632,636,715
MRPL57P1,0,0,0,0,0,0,0,0,0,0,0
MRPL57P3,0,0,0,0,0,0,0,0,0,0,0
