Gene_Name,Processed_Ramadoss_iPSC_1,Processed_Ramadoss_iPSC_2,Processed_Ramadoss_iPSC_3,Processed_Lisowski_iPSC1,Processed_Lisowski_iPSC2,Processed_Lisowski_iPSC3,Processed_Susco_iPSC_1,Processed_Susco_iPSC_2,Processed_Susco_iPSC_3,Processed_Susco_iPSC_4,Processed_Susco_iPSC_5
AC005176,0,0,0,0,0,0,2,0,0,5,0
AC005178,0,0,0,0,0,0,0,0,0,0,0
AC005189,0,0,0,0,0,3,0,0,0,0,0
AC005229,0,1,0,0,0,0,0,0,0,0,0
AC005237,0,0,0,0,0,3,0,0,0,0,0
AC005255,0,0,0,1,0,0,0,0,0,0,27
AC005262,1,0,0,0,0,0,0,0,0,0,0
AC005281,0,0,0,0,0,0,8,0,28,4,0
AC005300,0,0,1,0,3,3,0,0,0,0,0
AC005307,1,7,8,12,37,33,30,11,35,17,13
AC005336,0,0,0,0,0,0,0,0,0,0,0
AC005351,0,0,0,0,0,0,0,0,0,0,0
AC005357,0,0,0,0,0,0,0,0,0,0,0
AC005363,0,0,0,0,0,0,0,0,0,0,0
AC005480,2,0,0,0,0,0,0,0,0,0,0
AC005522,2,2,0,1,0,0,0,0,0,0,0
AC005534,0,1,0,1,1,2,1,0,0,1,0
AC005539,0,0,0,0,0,0,0,0,0,0,0
AC005559,0,0,0,0,0,0,0,0,0,1,0
AC005588,0,0,0,0,0,0,0,0,0,0,0
AC005609,0,0,0,0,0,0,0,0,0,0,0
AC005682,1,2,0,1,0,1,12,12,0,3,3
AC005722,0,0,0,0,0,0,0,0,0,0,0
AC005730,0,0,0,1,1,1,0,0,0,0,0
AC005740,1,0,0,1,0,0,0,0,0,0,0
AC005741,0,0,0,0,0,0,0,0,0,0,0
AC005758,0,0,0,0,0,0,0,0,0,0,0
AC005776,0,0,1,7,13,10,0,0,0,2,0
AC005777,0,0,0,0,0,0,0,0,0,0,0
AC005786,0,0,0,0,3,5,0,0,0,0,0
AC005822,3,0,0,3,8,2,0,0,0,3,0
AC005838,0,0,0,0,0,0,3,0,0,0,0
AC005943,0,0,0,0,0,0,220,99,116,155,146
AC006011,0,0,0,0,0,0,30,0,0,2,0
AC006022,0,0,0,0,0,0,0,0,0,0,0
AC006026,1,1,2,0,0,0,0,0,0,0,0
AC006028,0,0,0,0,0,0,0,0,0,0,0
AC006033,0,0,0,0,0,0,0,0,0,0,0
AC006042,0,0,3,0,0,0,5,0,0,6,3
AC006070,0,0,0,0,0,0,0,0,0,0,0
AC006077,0,0,0,0,0,0,0,0,0,0,0
AC006115,0,0,0,0,0,0,0,0,0,0,0
AC006116,0,0,0,3,1,1,15,0,0,0,0
AC006130,0,0,0,0,0,1,0,0,0,0,0
AC006133,0,0,0,0,0,0,0,0,0,0,0
AC006153,0,0,0,0,0,0,0,0,0,0,0
AC006160,1,0,0,9,10,9,0,0,0,0,0
AC006195,0,0,0,36,51,35,11,2,12,7,2
AC006262,0,0,0,0,2,2,0,0,0,0,0
AC006326,0,0,0,0,0,0,0,0,0,0,0
AC006328,0,0,0,0,0,0,0,0,0,0,0
AC006335,0,0,0,0,0,0,0,0,0,0,0
AC006355,0,0,0,0,0,0,0,0,0,0,0
AC006366,0,0,0,0,0,0,0,0,0,0,0
AC006390,0,0,0,0,0,0,0,0,0,0,0
AC006427,0,0,0,0,2,0,0,0,0,0,0
AC006445,0,0,0,0,0,0,0,0,0,0,0
AC006461,0,0,0,0,0,0,0,0,2,0,0
